Example_Index,Loss
321,7.969674587249756
322,7.962676048278809
323,7.890373706817627
324,7.927584648132324
325,7.959250450134277
326,7.870872974395752
327,7.867969036102295
328,7.955303192138672
329,7.958877086639404
330,7.921696186065674
331,7.962069988250732
332,7.989927768707275
333,7.983066558837891
334,8.005331993103027
335,8.021284103393555
336,7.978634357452393
337,7.979428291320801
338,8.006591796875
339,7.974557876586914
340,8.023557662963867
341,7.992947101593018
342,7.918839454650879
343,7.85241174697876
344,7.826147556304932
345,7.712284088134766
346,7.72318172454834
347,7.773620128631592
348,7.741063594818115
349,7.665987491607666
350,7.691489219665527
351,7.5861005783081055
352,7.548829555511475
353,7.565852165222168
354,7.447355270385742
355,7.423250198364258
356,7.478555202484131
357,7.495862007141113
358,7.446137428283691
359,7.384294509887695
360,7.337692737579346
361,7.384387016296387
362,7.329357147216797
363,7.321308612823486
364,7.443535804748535
365,7.2920427322387695
366,7.327480792999268
367,7.303163051605225
368,7.242330074310303
369,7.294406890869141
370,7.228257656097412
371,7.219465255737305
372,7.208980083465576
373,7.291513919830322
374,7.1928911209106445
375,7.12974739074707
376,7.059972763061523
377,7.059936046600342
378,7.022814750671387
379,7.046810150146484
380,7.040188789367676
381,7.015249729156494
382,6.982026100158691
383,7.045810699462891
384,7.013929843902588
385,6.92018461227417
386,6.807426929473877
387,6.909550189971924
388,6.845733165740967
389,6.726657390594482
390,6.693353652954102
391,6.714377403259277
392,6.710150718688965
393,6.755869388580322
394,6.660015106201172
395,6.594766139984131
396,6.565536975860596
397,6.574667453765869
398,6.580911159515381
399,6.5426530838012695
400,6.726191520690918
401,6.63845682144165
402,6.760927200317383
403,6.823479652404785
404,6.783602714538574
405,6.847699165344238
406,6.778165340423584
407,6.8242363929748535
408,6.771988868713379
409,6.89129114151001
410,6.880611896514893
411,6.908397674560547
412,6.844486236572266
413,6.8351006507873535
414,6.7706685066223145
415,6.909784317016602
416,6.844518184661865
417,6.931333541870117
418,6.925975799560547
419,7.015865802764893
420,6.990269184112549
421,6.915119647979736
422,6.984848976135254
423,6.886290550231934
424,6.963964462280273
425,6.796745300292969
426,6.769585132598877
427,6.799001693725586
428,6.697454452514648
429,6.736918926239014
430,6.732665061950684
431,6.754374027252197
432,6.744140625
433,6.649753093719482
434,6.70880126953125
435,6.779020309448242
436,6.816640377044678
437,6.7532148361206055
438,6.804327964782715
439,6.927717208862305
440,7.003298759460449
441,6.899148464202881
442,6.980431079864502
443,6.884707927703857
444,6.877451419830322
445,6.76967191696167
446,6.810739994049072
447,6.692901134490967
448,6.657443046569824
449,6.682255268096924
450,6.690023422241211
451,6.677018642425537
452,6.649869441986084
453,6.670540809631348
454,6.68880033493042
455,6.628729820251465
456,6.525457859039307
457,6.431286811828613
458,6.475160598754883
459,6.4600114822387695
460,6.45354700088501
461,6.481881141662598
462,6.502619743347168
463,6.429861068725586
464,6.4267659187316895
465,6.309996604919434
466,6.254164218902588
467,6.24353551864624
468,6.290935516357422
469,6.3463921546936035
470,6.431922912597656
471,6.3635735511779785
472,6.449155330657959
473,6.294215202331543
474,6.256626605987549
475,6.132452487945557
476,6.133563995361328
477,6.191351413726807
478,6.178081035614014
479,6.1085381507873535
480,6.214066028594971
481,6.16874361038208
482,6.010653495788574
483,5.988663673400879
484,6.001163482666016
485,6.080234527587891
486,6.062356948852539
487,6.202328205108643
488,6.210112571716309
489,6.298854351043701
490,6.409354209899902
491,6.378336429595947
492,6.48214054107666
493,6.593494892120361
494,6.643637180328369
495,6.577595233917236
496,6.656517028808594
497,6.722794532775879
498,6.741970539093018
499,6.629099369049072
500,6.546822547912598
501,6.471542835235596
502,6.520745277404785
503,6.410375118255615
504,6.457015514373779
505,6.457081317901611
506,6.423524379730225
507,6.484531402587891
508,6.528345584869385
509,6.550430774688721
510,6.643807888031006
511,6.651976585388184
512,6.732672214508057
513,6.854961395263672
514,6.932851791381836
515,6.825420379638672
516,6.884696006774902
517,6.953270435333252
518,6.946545124053955
519,6.9832024574279785
520,6.890347480773926
521,6.8806328773498535
522,6.961729049682617
523,7.097042083740234
524,7.146943092346191
